trip_id,arrival_time,departure_time,stop_id,stop_sequence
F1,07:40:00,07:40:00,gtfs-shibuya,1
F1,07:44:00,07:44:00,gtfs-daikanyama,2
F1,07:47:00,07:47:00,gtfs-nakameguro,3
F2,07:50:00,07:50:00,gtfs-shibuya,1
F2,07:55:00,07:55:00,gtfs-daikanyama,2
F2,07:58:00,07:58:00,gtfs-nakameguro,3
F3,08:00:00,08:00:00,gtfs-shibuya,1
F3,08:06:00,08:06:00,gtfs-daikanyama,2
F3,08:09:00,08:09:00,gtfs-nakameguro,3
F4,06:00:00,06:00:00,gtfs-shibuya,1
F4,06:02:00,06:02:00,gtfs-daikanyama,2
F4,06:05:00,06:05:00,gtfs-nakameguro,3
F5,06:20:00,06:20:00,gtfs-shibuya,1
F5,06:23:00,06:23:00,gtfs-daikanyama,2
F5,06:26:00,06:26:00,gtfs-nakameguro,3
B1,08:10:00,08:10:00,gtfs-nakameguro,1
B1,08:13:00,08:13:00,gtfs-daikanyama,2
B1,08:17:00,08:17:00,gtfs-shibuya,3
B2,08:25:00,08:25:00,gtfs-nakameguro,1
B2,08:29:00,08:29:00,gtfs-daikanyama,2
B2,08:34:00,08:34:00,gtfs-shibuya,3
R2T1,08:00:00,08:00:00,gtfs-shinjuku,1
R2T1,08:10:00,08:10:00,gtfs-ghost,2
R2T2,08:30:00,08:30:00,gtfs-shinjuku,1
R2T2,08:42:00,08:42:00,gtfs-ghost,2
FWKEND,07:42:00,07:42:00,gtfs-shibuya,1
FWKEND,09:21:00,09:21:00,gtfs-daikanyama,2
FWKEND,09:24:00,09:24:00,gtfs-nakameguro,3
